# Pe  mu_c
0.0000 84.2000
0.1000 84.3000
0.2000 84.3000
0.3000 84.5000
0.4000 84.6000
0.5000 84.9000
0.6000 85.1000
0.7000 85.4000
0.8000 85.8000
0.9000 86.2000
1.0000 86.7000
1.1000 87.2000
1.2000 87.7000
1.3000 88.3000
1.4000 89.0000
1.5000 89.7000
1.6000 90.4000
1.7000 91.2000
1.8000 92.1000
1.9000 93.0000
2.0000 93.9000
2.1000 94.9000
2.2000 95.9000
2.3000 97.0000
2.4000 98.1000
2.5000 99.3000
2.6000 100.5000
2.7000 101.7000
2.8000 103.0000
2.9000 104.4000
3.0000 105.8000
3.1000 107.2000
3.2000 108.7000
3.3000 110.2000
3.4000 111.8000
3.5000 113.4000
3.6000 115.1000
3.7000 116.8000
3.8000 118.6000
3.9000 120.4000
4.0000 122.2000
4.1000 124.1000
4.2000 126.0000
4.3000 128.0000
4.4000 130.0000
4.5000 132.1000
4.6000 134.2000
4.7000 136.3000
4.8000 138.5000
4.9000 140.7000
5.0000 143.0000
5.1000 145.4000
5.2000 147.7000
5.3000 150.1000
5.4000 152.6000
5.5000 155.1000
5.6000 157.6000
5.7000 160.2000
5.8000 162.8000
5.9000 165.5000
6.0000 168.2000
6.1000 171.0000
6.2000 173.8000
6.3000 176.7000
6.4000 179.5000
6.5000 182.5000
6.6000 185.5000
6.7000 188.5000
6.8000 191.6000
6.9000 194.7000
7.0000 197.8000
7.1000 201.0000
7.2000 204.3000
7.3000 207.5000
7.4000 210.9000
7.5000 214.2000
7.6000 217.7000
7.7000 221.1000
7.8000 224.6000
7.9000 228.2000
8.0000 231.8000
8.1000 235.4000
8.2000 239.1000
8.3000 242.8000
8.4000 246.6000
8.5000 250.4000
8.6000 254.2000
8.7000 258.1000
8.8000 262.1000
8.9000 266.0000
9.0000 270.1000
9.1000 274.1000
9.2000 278.3000
9.3000 282.4000
9.4000 286.6000
9.5000 290.9000
9.6000 295.2000
9.7000 299.5000
9.8000 303.9000
9.9000 308.3000
