# Pe  mu_c
0.0000 185.2000
0.1000 185.3000
0.2000 185.4000
0.3000 185.6000
0.4000 185.9000
0.5000 186.2000
0.6000 186.6000
0.7000 187.1000
0.8000 187.7000
0.9000 188.4000
1.0000 189.1000
1.1000 189.9000
1.2000 190.8000
1.3000 191.8000
1.4000 192.8000
1.5000 194.0000
1.6000 195.2000
1.7000 196.4000
1.8000 197.8000
1.9000 199.2000
2.0000 200.7000
2.1000 202.3000
2.2000 203.9000
2.3000 205.7000
2.4000 207.5000
2.5000 209.4000
2.6000 211.3000
2.7000 213.3000
2.8000 215.4000
2.9000 217.6000
3.0000 219.9000
3.1000 222.2000
3.2000 224.6000
3.3000 227.1000
3.4000 229.6000
3.5000 232.2000
3.6000 234.9000
3.7000 237.7000
3.8000 240.6000
3.9000 243.5000
4.0000 246.5000
4.1000 249.5000
4.2000 252.7000
4.3000 255.9000
4.4000 259.1000
4.5000 262.5000
4.6000 265.9000
4.7000 269.4000
4.8000 273.0000
4.9000 276.6000
5.0000 280.4000
5.1000 284.1000
5.2000 288.0000
5.3000 291.9000
5.4000 295.9000
5.5000 300.0000
5.6000 304.2000
5.7000 308.4000
5.8000 312.7000
5.9000 317.0000
6.0000 321.5000
6.1000 326.0000
6.2000 330.6000
6.3000 335.2000
6.4000 339.9000
6.5000 344.7000
6.6000 349.6000
6.7000 354.5000
6.8000 359.6000
6.9000 364.6000
7.0000 369.8000
7.1000 375.0000
7.2000 380.3000
7.3000 385.7000
7.4000 391.1000
7.5000 396.6000
7.6000 402.2000
7.7000 407.9000
7.8000 413.6000
7.9000 419.4000
8.0000 425.3000
8.1000 431.2000
8.2000 437.2000
8.3000 443.3000
8.4000 449.5000
8.5000 455.7000
8.6000 462.0000
8.7000 468.4000
8.8000 474.8000
8.9000 481.3000
9.0000 487.9000
