# Pe    mu
7.518797e-02 2.652853e+02
1.503759e-01 2.654955e+02
2.005013e-01 2.657057e+02
2.255639e-01 2.659159e+02
2.756892e-01 2.661261e+02
3.007519e-01 2.663363e+02
3.258145e-01 2.665465e+02
3.508772e-01 2.667568e+02
3.759398e-01 2.669670e+02
4.010025e-01 2.671772e+02
4.260652e-01 2.673874e+02
4.511278e-01 2.675976e+02
4.511278e-01 2.678078e+02
4.761905e-01 2.680180e+02
5.012531e-01 2.682282e+02
5.012531e-01 2.684384e+02
5.263158e-01 2.686486e+02
5.513784e-01 2.688589e+02
5.513784e-01 2.690691e+02
5.764411e-01 2.692793e+02
6.015038e-01 2.694895e+02
6.015038e-01 2.696997e+02
6.265664e-01 2.699099e+02
6.265664e-01 2.701201e+02
6.516291e-01 2.703303e+02
6.516291e-01 2.705405e+02
6.766917e-01 2.707508e+02
7.017544e-01 2.709610e+02
7.017544e-01 2.711712e+02
7.268170e-01 2.713814e+02
7.268170e-01 2.715916e+02
7.518797e-01 2.718018e+02
7.518797e-01 2.720120e+02
7.518797e-01 2.722222e+02
7.769424e-01 2.724324e+02
7.769424e-01 2.726426e+02
8.020050e-01 2.728529e+02
8.020050e-01 2.730631e+02
8.270677e-01 2.732733e+02
8.270677e-01 2.734835e+02
8.521303e-01 2.736937e+02
8.521303e-01 2.739039e+02
8.521303e-01 2.741141e+02
8.771930e-01 2.743243e+02
8.771930e-01 2.745345e+02
9.022556e-01 2.747447e+02
9.022556e-01 2.749550e+02
9.022556e-01 2.751652e+02
9.273183e-01 2.753754e+02
9.273183e-01 2.755856e+02
9.523810e-01 2.757958e+02
9.523810e-01 2.760060e+02
9.523810e-01 2.762162e+02
9.774436e-01 2.764264e+02
9.774436e-01 2.766366e+02
9.774436e-01 2.768468e+02
1.002506e+00 2.770571e+02
1.002506e+00 2.772673e+02
1.002506e+00 2.774775e+02
1.027569e+00 2.776877e+02
1.027569e+00 2.778979e+02
1.027569e+00 2.781081e+02
1.052632e+00 2.783183e+02
1.052632e+00 2.785285e+02
1.077694e+00 2.787387e+02
1.077694e+00 2.789489e+02
1.077694e+00 2.791592e+02
1.077694e+00 2.793694e+02
1.102757e+00 2.795796e+02
1.102757e+00 2.797898e+02
1.102757e+00 2.800000e+02
5.012531e-02 2.352252e+02
1.503759e-01 2.354354e+02
2.005013e-01 2.356456e+02
2.506266e-01 2.358559e+02
2.756892e-01 2.360661e+02
3.258145e-01 2.362763e+02
3.508772e-01 2.364865e+02
3.759398e-01 2.366967e+02
4.010025e-01 2.369069e+02
4.260652e-01 2.371171e+02
4.511278e-01 2.373273e+02
4.761905e-01 2.375375e+02
5.012531e-01 2.377477e+02
5.012531e-01 2.379580e+02
5.263158e-01 2.381682e+02
5.513784e-01 2.383784e+02
5.764411e-01 2.385886e+02
5.764411e-01 2.387988e+02
6.015038e-01 2.390090e+02
6.265664e-01 2.392192e+02
6.265664e-01 2.394294e+02
6.516291e-01 2.396396e+02
6.766917e-01 2.398498e+02
6.766917e-01 2.400601e+02
7.017544e-01 2.402703e+02
7.017544e-01 2.404805e+02
7.268170e-01 2.406907e+02
7.268170e-01 2.409009e+02
7.518797e-01 2.411111e+02
7.518797e-01 2.413213e+02
7.769424e-01 2.415315e+02
8.020050e-01 2.417417e+02
8.020050e-01 2.419520e+02
8.270677e-01 2.421622e+02
8.270677e-01 2.423724e+02
8.270677e-01 2.425826e+02
8.521303e-01 2.427928e+02
8.521303e-01 2.430030e+02
8.771930e-01 2.432132e+02
8.771930e-01 2.434234e+02
9.022556e-01 2.436336e+02
9.022556e-01 2.438438e+02
9.273183e-01 2.440541e+02
9.273183e-01 2.442643e+02
9.523810e-01 2.444745e+02
9.523810e-01 2.446847e+02
9.523810e-01 2.448949e+02
9.774436e-01 2.451051e+02
9.774436e-01 2.453153e+02
1.002506e+00 2.455255e+02
1.002506e+00 2.457357e+02
1.002506e+00 2.459459e+02
1.027569e+00 2.461562e+02
1.027569e+00 2.463664e+02
1.052632e+00 2.465766e+02
1.052632e+00 2.467868e+02
1.052632e+00 2.469970e+02
1.077694e+00 2.472072e+02
1.077694e+00 2.474174e+02
1.102757e+00 2.476276e+02
1.102757e+00 2.478378e+02
1.102757e+00 2.480480e+02
1.127820e+00 2.482583e+02
1.127820e+00 2.484685e+02
1.127820e+00 2.486787e+02
1.152882e+00 2.488889e+02
1.152882e+00 2.490991e+02
1.152882e+00 2.493093e+02
1.177945e+00 2.495195e+02
1.177945e+00 2.497297e+02
1.177945e+00 2.499399e+02
1.203008e+00 2.501502e+02
1.203008e+00 2.503604e+02
1.228070e+00 2.505706e+02
1.228070e+00 2.507808e+02
1.228070e+00 2.509910e+02
1.228070e+00 2.512012e+02
1.253133e+00 2.514114e+02
1.253133e+00 2.516216e+02
1.253133e+00 2.518318e+02
1.278195e+00 2.520420e+02
1.278195e+00 2.522523e+02
1.278195e+00 2.524625e+02
1.303258e+00 2.526727e+02
1.303258e+00 2.528829e+02
1.303258e+00 2.530931e+02
1.328321e+00 2.533033e+02
1.328321e+00 2.535135e+02
1.328321e+00 2.537237e+02
1.353383e+00 2.539339e+02
1.353383e+00 2.541441e+02
1.353383e+00 2.543544e+02
1.353383e+00 2.545646e+02
1.378446e+00 2.547748e+02
1.378446e+00 2.549850e+02
1.378446e+00 2.551952e+02
1.403509e+00 2.554054e+02
1.403509e+00 2.556156e+02
1.403509e+00 2.558258e+02
1.428571e+00 2.560360e+02
1.428571e+00 2.562462e+02
1.428571e+00 2.564565e+02
1.428571e+00 2.566667e+02
